"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Gender","Age","Qualification","Value","Value_type","Denominator","Numerator","Upper 95% C.I.","Lower 95% C.I."
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","63.3","%","59395","37596","69.2","57.4"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","79.9","%","15941726","12741853","80.2","79.6"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","72.9","%","159319","116125","78.5","67.3"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","79.1","%","1135415","897596","80.9","77.2"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","71.1","%","442819","314914","74.6","67.6"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","75.4","%","371820","280182","78.9","71.8"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","76.3","%","2109373","1608817","77.7","74.8"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","All","79.5","%","18062028","14356811","79.8","79.2"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","82.2","%","5709118","4691422","82.6","81.7"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","76.1","%","77498","58958","83.7","68.4"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","69.6","%","452632","314815","72.8","66.3"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","76.9","%","229455","176432","81.2","72.6"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","72.9","%","187396","136530","77.8","67.9"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","72.5","%","946981","686735","74.7","70.3"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","80.8","%","6660572","5382199","81.2","80.4"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","78.2","%","2556049","1999395","78.9","77.5"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","61.8","%","32246","19937.5","74.9","48.7"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","56.3","%","115888","65276","63.3","49.4"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","70.8","%","73414.5","51958.5","79.1","62.4"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","55.4","%","30913.5","17119.5","68.7","42"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","61.1","%","252462","154291.5","65.8","56.4"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","76.7","%","2809257","2153990.5","77.4","76"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","69","%","3121531","2152441","69.7","68.2"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","65.3","%","28697","18736.5","78.2","52.4"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","42.9","%","129036","55329","49.3","36.4"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","55.3","%","71725.5","39692.5","64.5","46.1"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","48.9","%","30680.5","15011.5","62.5","35.4"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","49.5","%","260139","128769.5","54.1","44.9"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","67.4","%","3383923","2282242.5","68.1","66.7"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","59.4","%","2185177","1296934","60.2","58.5"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","36.2","%","94032","34022","43.3","29"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","47","%","49638","23353","58.1","36"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","32.7","%","25426","8309","47.2","18.1"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","38.9","%","187689","73016","44.2","33.6"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","57.7","%","2374146","1370873","58.6","56.9"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","64.2","%","782084","502177","65.6","62.8"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","36.9","%","134500","49611","42.9","30.8"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","45.5","%","47565","21639","56.5","34.4"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","47.7","%","54054","25802","57.9","37.6"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","41.3","%","247481","102121","45.9","36.6"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Other qualifications","58.7","%","1030798","604734","60","57.4"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","34","%","1653773","561937","34.9","33"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","16.6","%","189807","31498","20.4","12.8"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","28.1","%","57883","16240","37","19.2"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","22.2","%","56037","12467","30.6","13.9"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","19.8","%","318583","63160","23","16.6"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","No qualifications","31.7","%","1972938","625097","32.5","30.8"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","56.7","%","45100","25557","62.9","50.4"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","Unknown","53.6","%","56620","30355","59.4","47.8"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","70","%","16052832","11229863","70.3","69.6"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","61.6","%","183774","113164","67","56.1"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","49.4","%","1121452","553771","51.6","47.2"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","62.2","%","531257","330243","65.4","58.9"
