region,lo,sex,grp,det,yr,n
East Midlands,30,Male,Asian,Other Asian,2011,2067
East Midlands,30,Male,Asian,Pakistani,2011,2495
East Midlands,30,Male,Black,African,2011,2562
East Midlands,30,Male,Black,Caribbean,2011,740
East Midlands,30,Male,Black,Other Black,2011,299
East Midlands,30,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,533
East Midlands,30,Male,Mixed,White and Asian,2011,745
East Midlands,30,Male,Mixed,White and Black African,2011,366
East Midlands,30,Male,Mixed,White and Black Caribbean,2011,1363
East Midlands,30,Male,Other,Any other ethnic group,2011,1414
East Midlands,30,Male,Other,Arab,2011,741
East Midlands,30,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,100257
East Midlands,30,Male,White,Gypsy or Irish Traveller,2011,144
East Midlands,30,Male,White,Irish,2011,618
East Midlands,30,Male,White,Other White,2011,10655
East Midlands,35,Female,Asian,Bangladeshi,2011,552
East Midlands,35,Female,Asian,Chinese,2011,819
East Midlands,35,Female,Asian,Indian,2011,6471
East Midlands,35,Female,Asian,Other Asian,2011,2181
East Midlands,35,Female,Asian,Pakistani,2011,1933
East Midlands,35,Female,Black,African,2011,2261
East Midlands,35,Female,Black,Caribbean,2011,878
East Midlands,35,Female,Black,Other Black,2011,357
East Midlands,35,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,460
East Midlands,35,Female,Mixed,White and Asian,2011,439
East Midlands,35,Female,Mixed,White and Black African,2011,225
East Midlands,35,Female,Mixed,White and Black Caribbean,2011,1035
East Midlands,35,Female,Other,Any other ethnic group,2011,634
East Midlands,35,Female,Other,Arab,2011,361
East Midlands,35,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,121462
East Midlands,35,Female,White,Gypsy or Irish Traveller,2011,134
East Midlands,35,Female,White,Irish,2011,735
East Midlands,35,Female,White,Other White,2011,6482
East Midlands,35,Male,Asian,Bangladeshi,2011,638
East Midlands,35,Male,Asian,Chinese,2011,677
East Midlands,35,Male,Asian,Indian,2011,6307
East Midlands,35,Male,Asian,Other Asian,2011,2065
East Midlands,35,Male,Asian,Pakistani,2011,2045
East Midlands,35,Male,Black,African,2011,2427
